term,length
logarithm,9
logarithmic,11
logical,7
loitsianskii,12
long,4
longitudinal,12
look,4
loop,4
loose,5
lose,4
loss,4
lotz,4
loudspeaker,11
love,4
low,3
lower,5
lubricant,9
lubrication,11
lucid,5
lucite,6
ludweig,7
ludwieg,7
luminous,8
lunar,5
lyapunov,8
macadam,7
mach,4
machine,7
maeder,6
magnesium,9
magnetic,8
magneto,7
magnetoacoustic,15
magnetoaerodynamic,18
magnetofluidmechanics,21
magnetogas,10
magnetohydrodynamic,19
magnetohydrodynamical,21
magnetohydrodynamics,20
magnify,7
magnitude,9
magnus,6
main,4
mainstream,10
maintain,8
maintainance,12
maintenance,11
major,5
majority,8
make,4
making,6
malfunction,11
man,3
maneuver,8
maneuvering,11
mangler,7
manifest,8
manned,6
manner,6
manocuvres,10
manoeuvre,9
manoeuvring,11
manometer,9
manufacture,11
manufacturing,13
map,3
mapping,7
margin,6
marguerre,9
maritime,8
mark,4
marked,6
martian,7
mask,4
maslen,6
mass,4
massbalance,11
massbalanced,12
mat,3
match,5
matching,8
material,8
materials,9
math,4
mathematical,12
mathematics,11
matric,6
matrix,6
matter,6
matting,7
max,3
maximuin,8
maximum,7
maxwellian,10
mean,4
meaning,7
measurable,10
measure,7
measured,8
measurement,11
mechanic,8
mechanical,10
mechanism,9
mechs,5
median,6
medium,6
meet,4
meeting,7
meh,3
meksyn,6
melamine,8
melt,4
melting,7
member,6
membrane,8
memorandum,10
mention,7
mercury,7
mere,4
merge,5
merged,6
merger,6
merging,7
meridian,8
meridional,10
merit,5
mesh,4
metal,5
metallic,8
meteor,6
meteorite,9
meter,5
methane,7
methanol,8
method,6
mev,3
meyer,5
mhd,3
microinch,9
microinches,11
micromanometer,14
micron,6
microphone,10
microwave,9
mid,3
midchord,8
middle,6
midplane,8
midspan,7
migrate,7
mil,3
mild,4
mile,4
millimeter,10
millisecond,11
mind,4
minimal,7
minimisation,12
minimise,8
minimization,12
minimize,8
minimum,7
minor,5
minute,6
mirels,6
mirror,6
misaligned,10
misalignment,12
misalinement,12
mises,5
mismatch,8
miss,4
missile,7
mission,7
mistake,7
mitigate,8
mix,3
mixed,5
mixing,6
mixture,7
modal,5
mode,4
model,5
modeling,8
moderate,8
modern,6
modes,5
modest,6
modification,12
modified,8
modify,6
modulate,8
modulation,10
modulus,7
mol,3
molecular,9
molecule,8
molten,6
molybdenum,10
moment,6
momentary,9
momentum,8
monatomic,9
monocoque,9
monograph,9
monoplane,9
monopole,8
moon,4
morning,7
motion,6
motionless,10
motor,5
mound,5
mount,5
mountain,8
movable,7
move,4
movement,8
mph,3
msvo,4
mth,3
muffler,7
multi,5
multiaxial,10
multibay,8
multicellular,13
multicomponent,14
multilayer,10
multiple,8
multiplication,14
multiplicative,14
multiplier,10
multiply,8
multistage,10
multistaging,12
multiweb,8
mum,3
naca,4
nacelle,7
nagamatsu,9
name,4
narrow,6
national,8
natural,7
nature,6
nautical,8
naval,5
navy,4
near,4
neat,4
necessary,9
necessitate,11
necessity,9
need,4
negation,8
negative,8
neglect,7
negligible,10
neighborhood,12
neighbourhood,13
neighbouring,12
net,3
network,7
neumann,7
neutral,7
new,3
news,4
newtonian,9
nice,4
nickel,6
night,5
nimonic,7
ninefold,8
ninth,5
nitric,6
nitrogen,8
no.1,4
no.320,6
nocturnal,9
nodal,5
node,4
noise,5
nomenclature,12
nominal,7
nomograph,9
non,3
nonablating,11
nonaligned,10
nonaxisymmetric,15
nonaxisymmetrical,17
noncatalytic,12
noncircular,11
noncirculatory,14
noncommunicating,16
nonconcurrence,14
nonconducting,13
nonconduction,13
nonconservative,15
nondecomposing,14
nondimensional,14
nondimensionalized,18
nondissipative,14
nonequilibrium,14
nonexistence,12
nonflammable,12
nongyroscopic,13
nonhomogeneous,14
noninclined,11
noninjection,12
noninsulated,12
nonisentropic,13
nonisothermal,13
nonlifting,10
nonlinear,9
nonlinearity,12
nonmagnetic,11
nonnegative,11
nonorthogonal,13
nonparallel,11
nonpermeable,12
nonplanar,9
nonporous,9
nonreacting,11
nonreactive,11
nonrigorous,11
nonrotating,11
nonsimilar,10
nonsingular,11
nonslationary,13
nonslender,10
nonspherical,12
nonstationary,13
nonsteady,9
nontrivial,10
nonuniform,10
nonuniformity,13
nonunity,8
nonvanishing,12
nonviscous,10
nonzero,7
normal,6
normalize,9
nose,4
nosed,5
notable,7
notation,8
notch,5
note,4
noteworthy,10
notice,6
noticeable,10
notion,6
novel,5
nozzle,6
npl,3
nth,3
nuclear,7
nullify,7
number,6
numberical,10
numerical,9
numerous,8
numger,6
nusselt,7
nylon,5
obey,4
object,6
objection,9
objectionable,13
objective,9
oblate,6
oblateness,10
oblique,7
obliterate,10
obscure,7
observable,10
observables,11
observation,11
observational,13
observe,7
observed,8
observer,8
obstacle,8
obtain,6
obtainable,10
obtainec,8
obtaining,9
obtainment,10
obvious,7
occasion,8
occupy,6
occur,5
occurrence,10
octagonal,9
octahedral,10
octave,6
offer,5
offset,6
ogee,4
ogival,6
ogive,5
oil,3
old,3
omission,8
omit,4
oncoming,8
one,3
onera,5
onic,4
onsager,7
onset,5
opaque,6
open,4
opening,7
operate,7
operating,9
operation,9
operational,11
operative,9
operator,8
opportunity,11
oppose,6
opposed,7
opposing,8
opposite,8
opposition,10
optic,5
optical,7
optimal,7
optimization,12
optimum,7
orbit,5
orbital,7
order,5
ordered,7
ordering,8
ordinary,8
ordinate,8
ordnance,8
organization,12
orgin,5
orient,6
orientation,11
orifice,7
origin,6
original,8
originate,9
originting,10
orlfice,7
orthogonal,10
orthogonality,13
orthotropic,11
oscillate,9
oscillation,11
oscillator,10
oscillatory,11
oscillograph,12
oseen,5
oseens,6
osoen,5
oswatitsch,10
out,3
outboard,8
outcome,7
outermost,9
outlet,6
outline,7
output,6
outside,7
outstanding,11
outward,7
outweight,9
oval,4
ovaluated,9
oven,4
overall,7
overcome,8
overestimate,12
overestimation,14
overexpanded,12
overexpands,11
overexpansion,13
overhang,8
overlap,7
overlook,8
overpressure,12
override,8
overshadow,10
overshoot,9
oversimplification,18
oversimplified,14
overstability,13
overstatement,13
overswing,9
owe,3
oxidation,9
oxide,5
oxygen,6
p//dp,5
packard,7
page,4
painleve,8
paint,5
pair,4
palte,5
panel,5
paper,5
papreg,6
para.5,6
parabolic,9
paraboloid,10
paraboloidal,12
paradox,7
paragraph,9
parallel,8
parameter,9
paramount,9
paraplex,8
parasol,7
parietale,9
part,4
partial,7
particle,8
particular,10
partition,9
pas,3
pass,4
passage,7
passenger,9
passive,7
past,4
path,4
pattern,7
pay,3
payload,7
peak,4
peclet,6
peculiar,8
peculiarity,11
penalty,7
penetrate,9
penetration,11
people,6
percent,7
percentage,10
perfect,7
perforate,9
perforation,11
perform,7
performance,11
perigee,7
periments,9
perimeter,9
period,6
periodic,8
peripheral,10
permanent,9
permeability,12
permeable,9
permissable,11
permissible,11
permit,6
perpendicular,13
perplexing,10
persh,5
persist,7
personal,8
pertain,7
pertinent,9
perturb,7
perturbation,12
perturbed,9
pessimistic,11
phase,5
phenolic,8
phenomena,9
phenomenological,16
phenomenon,10
philosophy,10
phosphorescent,14
photo,5
photoelastic,12
photograph,10
photographic,12
photography,11
photomultiplier,15
photomultipliers,16
photothermoelastic,18
phugoid,7
physcal,7
physic,6
physical,8
physiological,13
pibal,5
picture,7
piece,5
piercy,6
pilot,5
pimple,6
pin,3
pipe,4
piston,6
pitch,5
pitching,8
pitchingmoment,14
pitot,5
pivot,5
pivotal,7
place,5
placement,9
plain,5
plan,4
planar,6
planck,6
plane,5
planet,6
planetary,9
planeto,7
planform,8
planforms,9
plant,5
plasma,6
plast,5
plastic,7
plasticity,10
plate,5
plateau,7
platinum,8
plausible,9
play,4
plk,3
plot,4
plotting,8
plug,4
plume,5
pluming,7
plunging,8
ply,3
pneumatic,9
pod,3
poetic,6
pohlhausen,10
poinds,6
point,5
pointed,7
poiscuille,10
poiseuille,10
poisson,7
polar,5
polars,6
pole,4
polished,8
polyatomic,10
polyaxial,9
polycrystalline,15
polygon,7
polymer,7
polynomial,10
polynomials,11
polystyrene,11
ponderomotive,13
poor,4
popular,7
pore,4
porous,6
portion,7
portious,8
pose,4
position,8
positive,8
possess,7
possibility,11
possible,8
possio,6
post,4
postbuckling,12
postpone,8
postulate,9
potential,9
potentiometer,13
potter,6
pound,5
power,5
powered,7
powerful,8
powering,8
powerplants,11
practical,9
practice,8
practitioner,12
prandtl,7
pre,3
prebuckled,10
precaution,10
precede,7
precession,10
precipitate,11
precise,7
precision,9
preclude,8
precludes,9
predict,7
predictable,11
prediction,10
predictive,10
predigest,9
predominant,11
predominate,11
prefer,6
preferable,10
preference,10
preferred,9
preheat,7
preliminary,11
premature,9
premise,7
premixed,8
preparation,11
prepare,7
prepared,8
preponderance,13
prescribe,9
prescribed,10
presence,8
present,7
presentation,12
preserve,8
press,5
pressure,8
pressureized,12
pressurise,10
pressurised,11
pressurize,10
pressurized,11
prevail,7
prevalence,10
prevent,7
prevention,10
previous,8
prewhirl,8
price,5
prikl,5
primary,7
prime,5
principal,9
principle,9
prior,5
priori,6
prism,5
prismatic,9
probability,11
probable,8
probe,5
problem,7
problems,8
proc,4
procedure,9
proceed,7
proceeds,8
process,7
processing,10
produce,7
producer,8
product,7
production,10
profile,7
profound,8
program,7
programing,10
programme,9
programming,11
progress,8
progressive,11
prohibitive,11
project,7
projectile,10
prolate,7
prominence,10
promise,7
promising,9
promote,7
prone,5
pronounce,9
proof,5
propagate,9
propagation,11
propel,6
propellant,10
propeller,9
propeller(s,11
proper,6
property,8
proportion,10
proportional,12
proportionality,15
proportionate,13
proposal,8
propose,7
proposel,8
proposition,11
propound,8
propulsion,10
propulsive,10
prospect,8
protect,7
protection,10
protein,7
proton,6
prototype,9
protrude,8
protrusion,10
protuberance,12
prove,5
provide,7
provision,9
provisional,11
provoke,7
proximity,9
pseudo,6
psf,3
psi,3
psia,4
psig,4
psychological,13
public,6
publication,11
publish,7
pulse,5
pump,4
puncture,8
pure,4
purpose,7
purpose/,8
pursue,6
put,3
puzzle,6
pyramidal,9
pyrex,5
quadratic,9
quadrature,10
quadruplet,10
quadrupole,10
quadrupoles,11
qualitative,11
qualitiative,12
quality,7
quantitative,12
quantity,8
quantum,7
quart,5
quarter,7
quarterchord,12
quartic,7
quartz,6
quasi,5
quench,6
quenching,9
quest,5
question,8
questionable,12
quick,5
quieting,8
quotation,9
quote,5
r(x,3
radar,5
radial,6
radian,6
radiant,7
radiate,7
radiation,9
radiative,9
radii,5
radius,6
radome,6
raise,5
rake,4
rameter,7
ramp,4
random,6
randomness,10
randon,6
range,5
rankine,7
rapid,5
rapidity,8
rarefaction,11
rarefied,8
rate,4
ratio,5
ratio/,6
rational,8
ratios,6
ray,3
rayleigh,8
reach,5
react,5
reaction,8
reactive,8
reactor,7
read,4
reader,6
reading,7
readings,8
ready,5
reaffirm,8
real,4
realise,7
realistic,9
realization,11
realize,7
reanalysis,10
reanalyze,9
rear,4
rearrange,9
rearward,8
reason,6
reasonable,10
reasoning,9
reattached,10
reattaches,10
reattaching,11
reattachment,12
receive,7
receiver,8
recent,6
reciprocal,10
reciprocity,11
recirculating,13
recirculation,13
recognise,9
recognize,9
recombination,13
recommend,9
recommendation,14
recompression,13
record,6
recording,9
recourse,8
recover,7
recoverable,11
recovery,8
rectangle,9
rectangular,11
rectilinear,11
recur,5
recurrence,10
recursion,9
redefinition,12
redesign,8
redirect,8
redistribution,14
reduce,6
reduced,7
reducible,9
reduction,9
redundant,9
reentry,7
reexamination,13
ref,3
refer,5
reference,9
refine,6
refined,7
refinement,10
reflect,7
reflection,10
reflex,6
reformulate,11
refract,7
refraction,10
refractory,10
regain,6
regard,6
regime,6
region,6
register,8
regular,7
regularity,10
reichardt,9
reimpinge,9
reinforce,9
reinforcement,13
reinvestigated,14
reissner,8
reject,6
relate,6
related,7
relation,8
relationship,12
relative,8
relativistic,12
relax,5
relaxation,10
relay,5
release,7
relevance,9
relevant,8
reliability,11
reliable,8
relieve,7
rely,4
remain,6
remainder,9
remark,6
remarkable,10
remember,8
remote,6
removable,9
removal,7
remove,6
render,6
repair,6
repeat,6
repercussion,12
repetition,10
replace,7
replacement,11
reply,5
report,6
represent,9
representable,13
representation,14
representative,14
reproduce,9
reproducible,12
requency,8
request,7
require,7
required,8
requirement,11
research,8
researcher,10
resemblance,11
resemble,8
reservation,11
reservoir,9
residual,8
resiliant,9
resin,5
resist,6
resistance,10
resler,6
resolution,10
resolve,7
resonable,9
resonance,9
resonant,8
resort,6
resource,8
respect,7
respective,10
respond,7
response,8
responsible,11
rest,4
restore,7
restrain,8
restraint,9
restrict,8
restricted,10
restriction,11
restrictive,11
result,6
resultant,9
retain,6
retarded,8
retarding,9
retrocket,9
retrorocket,11
retrovelocity,13
return,6
reuss,5
rev,3
reveal,6
reversal,8
reverse,7
reversed,8
reversibility,13
reversible,10
revert,6
review,6
reviewer,8
revise,6
revision,8
revolution,10
rewrite,7
rheological,11
rhombic,7
rib,3
ribbon,6
ridge,5
right,5
rigid,5
rigidity,8
rigorous,8
ring,4
riolate,7
ripple,6
rise,4
risk,4
rivet,5
rms,3
roar,4
rocket,6
rod,3
roghness,8
role,4
roll,4
rolling,7
room,4
root,4
rotary,6
rotate,6
rotating,8
rotation,8
rotational,10
rotor,5
rough,5
roughen,7
roughness,9
round,5
rounded,7
roundness,9
routine,7
routinized,10
row,3
rpm,3
rsults,6
rube,4
rubesin,7
rudimentary,11
rule,4
run,3
runge,5
running,7
rupture,7
russian,7
safe,4
safety,6
sail,4
sake,4
sakurai,7
salient,7
salmon,6
salt,4
sample,6
sand,4
sandpaper,9
sandwich,8
satelite,8
satellite,9
satisfaction,12
satisfactory,12
satisfied,9
satisfy,7
saving,6
say,3
scalar,6
scale,5
scaling,7
scan,4
scar,4
scarce,6
scatter,7
schematic,9
scheme,6
schlichting,11
schlieren,9
schoenherr,10
scientific,10
scientist,9
scoop,5
scope,5
screen,6
scruton,7
sea,3
seal,4
sealing,7
search,6
searching,9
season,6
seasonal,8
seban,5
secant,6
second,6
secondary,9
section,7
sectional,9
sector,6
sectorial,9
secure,6
security,8
sedimentation,13
sedov,5
see,3
seeding,7
seek,4
segment,7
seidel,6
select,6
selection,9
selective,9
self,4
semi,4
semiapex,8
semiballistic,13
semicircle,10
semicircular,12
semidiameter,12
semiempirical,13
semiinfinite,12
semispan,8
semivertex,10
senior,6
sense,5
sensible,8
sensitive,9
sensitivity,11
sensor,6
separable,9
separate,8
separated,9
separation,10
sequel,6
sequence,8
ser,3
serenity,8
series,6
serve,5
service,7
servo,5
sesired,7
set,3
setting,7
seventh,7
severe,6
sextic,6
shadow,6
shadowgraph,11
shaft,5
shallow,7
shank,5
shanley,7
shape,5
sharp,5
sharpedge,9
shear,5
shearing,8
sheath,6
shed,4
shedding,8
sheet,5
shell,5
sheltered,9
shercliff,9
shesterikov,11
shield,6
shielding,9
shift,5
shifting,8
ship,4
shock,5
shocked,7
shockless,9
shockwave,9
short,5
shortcoming,11
shorten,7
shortening,10
shoulder,8
show,4
show/1,6
shroud,6
shuffle,7
shypersonic,11
sibulkin,8
side,4
sided,5
sideforce,9
sideslip,8
sideslipping,12
sidewall,8
sidewash,8
sight,5
sign,4
signal,6
significance,12
significant,11
sigularity,10
silence,7
silica,6
similar,7
similar/,8
similarity,10
similitude,10
simple,6
simplicity,10
simplification,14
simplified,10
simplify,8
simplifying,11
simulate,8
simulated,9
simulation,10
simulator,9
simulators,10
simultaneous,12
sin,3
sine,4
single,6
singular,8
singularity,11
sink,4
sinking,7
sinusoid,8
sinusoidal,10
siren,5
situate,7
situation,9
sixth,5
sizable,7
size,4
sizeable,8
sized,5
skan,4
sketchy,7
skew,4
skewed,6
skill,5
skin,4
skip,4
skirt,5
slab,4
slender,7
slenderness,11
slice,5
slide,5
slider,6
slight,6
slip,4
slipstream,10
slop,4
slope,5
sloped,6
sloshing,8
slot,4
slotted,7
slow,4
slug,4
small,5
smallness,9
smell,5
smoke,5
smooth,6
smoothing,9
smoothness,10
snap,4
snow,4
soak,4
sobsonic,8
society,7
sodium,6
soft,4
solar,5
solid,5
solides,7
solidification,14
soluble,7
solution,8
solutions/,10
solve,5
som,3
sonic,5
sophisticated,13
soret,5
sort,4
sound,5
sounding,8
source,6
southwell,9
space,5
spacecraft,10
spaced,6
spacewise,9
spacing,7
span,4
spanwise,8
spar,4
spark,5
spatial,7
speak,5
special,7
specialise,10
specialization,14
specialize,10
specialized,11
specie,6
specific,8
specification,13
specified,9
specifiic,9
specify,7
specimen,8
spectacular,11
spectra,7
spectral,8
spectrograph,12
spectrum,8
specular,8
speed,5
sperical,8
sphere,6
spheric,7
spherical,9
spheroid,8
spike,5
spiked,6
spin,4
spindle,7
spinner,7
spinning,8
spiral,6
spirit,6
spite,5
split,5
splitter,8
sponsor,7
spot,4
spray,5
spread,6
spreading,9
spreiter,8
spring,6
spurious,8
square,6
squire,6
stability,9
stabilization,13
stabilize,9
stabilizer,10
stable,6
stack,5
stacking,8
staff,5
stage,5
stagger,7
stagnant,8
stagnation,10
stainless,9
stall,5
stalling,8
stand,5
standard,8
standoff,8
standpoint,10
start,5
starting,8
state,5
statement,9
static,6
statical,8
staticpressure,14
station,7
stationary,10
statistic,9
statistical,11
stator,6
status,6
steadiness,10
steady,6
steam,5
steamline,9
steel,5
steep,5
steepness,9
stem,4
step,4
stepdown,8
stepwise,8
stewartson,10
stiffen,7
stiffener,9
stiffening,10
stiffness,9
stimulate,9
stimulus,8
sting,5
stipulate,9
stochastic,10
stoke,5
stoker,6
stokes,6
stol,4
stone,5
stonecypher,11
stony,5
storage,7
store,5
straight,8
straightness,12
strain,6
strange,7
stratagem,9
stratiform,10
streak,6
stream,6
streamline,10
streamlines,11
streamlining,12
streamtube,10
streamwise,10
strength,8
strengthen,10
stress,6
stretch,7
stretching,10
strike,6
striking,8
stringer,8
strip,5
stroboscope,11
stroboscopic,12
strong,6
strouhal,8
structural,10
structure,9
strut,5
study,5
sub,3
subarcs,7
subaudio,8
subcritical,11
subject,7
subjective,10
sublayer,8
sublimation,11
submerge,8
submit,6
subroutine,10
subscript,9
subscripts,10
subsequent,10
subsidiary,10
subsonic,8
substantial,11
substantiate,12
substitute,10
substitution,12
subtend,7
subtract,8
succeed,7
success,7
successful,10
succession,10
successive,10
suck,4
suction,7
sudden,6
suffer,6
sufficient,10
suffix,6
sugar,5
suggest,7
suggestion,10
suit,4
suitability,11
suitable,8
suited,6
sum,3
summarise,9
summarize,9
summary,7
summation,9
super,5
superaerodynamic,16
supercircular,13
supercritical,13
superficial,11
superimpose,11
superior,8
superiority,11
superpose,9
superposition,13
superscript,11
supersede,9
supersonic,10
supplement,10
supplementary,13
supplorted,10
supply,6
support,7
suppose,7
supposition,11
suppress,8
sure,4
surface,7
surge,5
surpass,7
surprising,10
surround,8
survey,6
susceptible,11
sustain,7
sustained,9
swallow,7
sweat,5
sweep,5
sweepback,9
sweptback,9
sweptforward,12
sweptwing,9
swirl,5
switch,6
symmetric,9
symmetrical,11
symmetry,8
symposium,9
synge,5
synthesis,9
synthesize,10
system,6
systematic,10
systematize,11
tab,3
table,5
tabular,7
tabulate,8
tabulation,10
tail,4
tailing,7
tailless,8
tailor,6
tailplane,9
tailwind,8
tained,6
take,4
tangency,8
tangent,7
tangential,10
tank,4
tap,3
taper,5
tapered,7
target,6
task,4
taxi,4
tech,4
technical,9
technique,9
techniques,10
technology,10
tedious,7
teeth,5
teflon,6
telegraph,9
telemeter,9
telemetered,11
telemetering,12
tell,4
teller,6
temp,4
temperature,11
temperatures,12
tend,4
tendency,8
tensile,7
tension,7
tensor,6
tentative,9
tenth,5
term,4
terminal,8
terminate,9
termination,11
terminology,11
termperature,12
termwise,8
terrain,7
terrestrial,11
test,4
testing,7
tetrachloride,13
text,4
theodorsen,10
theorem,7
theoretic,9
theoretical,11
theory,6
thermal,7
thermo,6
thermochemical,14
thermocouple,12
thermodynamic,13
thermodynamics,14
thermoelastic,13
thermoelasticity,16
thermomechanical,16
thermomechanics,15
thermometer,11
thermopropulsive,16
theta,5
thick,5
thicken,7
thickening,10
thickness,9
thin,4
thing,5
think,5
third,5
thorough,8
threaten,8
threshold,9
throat,6
throttle,8
throw,5
thrust,6
thwaites,8
tical,5
tietjens,8
tilt,4
time,4
timoshenko,10
ting,4
tion,4
tional,6
tions,5
tip,3
title,5
tnis,4
today,5
tolerable,9
tolerance,9
tolerate,8
tollmien,8
tomotika,8
tool,4
topic,5
torda,5
toriconic,9
toriconical,11
torispherical,13
toroidal,8
torque,6
torsion,7
torsional,9
torus,5
total,5
touch,5
toxic,5
trace,5
track,5
tracking,8
tractable,9
traction,8
tractor,7
traditional,11
trail,5
trailing,8
trajectory,10
transcendant,12
transcendental,14
transducer,10
transfer,8
transfn,7
transform,9
transformation,14
transforms,10
transient,9
transit,7
transition,10
transitional,12
translate,9
translation,11
translational,13
translatory,11
transmission,12
transmit,8
transonic,9
transparent,11
transpiration,13
transpire,9
transport,9
transportation,14
transtability,13
transversality,14
transverse,10
trapezoidal,11
travel,6
traversal,9
traverse,8
treat,5
treatise,8
treatment,9
trefftz,7
trefitz,7
trend,5
trial,5
triangle,8
triangular,10
tribute,7
trick,5
trigger,7
trigonometric,13
trigonometrical,15
trim,4
trip,4
triple,6
tripping,8
trochoidal,10
trouble,7
troublesome,11
true,4
truncate,8
truncated,9
truncation,10
truth,5
try,3
tsien,5
tsion,5
tube,4
tubing,6
tubular,7
tubulence,9
tuft,4
tumble,6
tumbling,8
tungsten,8
tunnel,6
turbances,9
turbine,7
turbo,5
turbojet,8
turbomachines,13
turbulen,8
turbulence,10
turbulent,9
ture,4
turn,4
turning,7
twin,4
twist,5
twisted,7
twisting,8
type,4
type/1,6
typical,7
typify,6
typographical,13
typography,10
ultimate,8
ultra,5
ultracentrifuge,15
umerical,8
unablated,9
unaccompanied,13
unaffected,10
unanticipated,13
unavoidable,11
unbalanced,10
unbanked,8
unblunted,9
unbounded,9
unbuckled,9
uncambered,10
uncertain,9
uncertainty,11
unchanged,9
unconservative,14
unconstrained,13
uncontrollable,14
uncooled,8
uncorrected,11
uncouple,8
uncoupled,9
undamped,8
undeformed,10
underestimate,13
underexpanded,13
underexpansion,14
undergo,7
underlie,8
underlying,10
undershoot,10
underside,9
understand,10
understanding,13
undersurface,12
undertake,9
undesirable,11
undetermined,12
undissociated,13
undisturbed,11
undrooped,9
unequal,7
unexpected,10
unexplained,11
unfamiliar,10
unfavorable,11
unfavourable,12
unfilled,8
unfired,7
unflanged,9
unfold,6
unhappy,7
unheated,8
uniaxial,8
unidirectional,14
unification,11
unified,7
uniform,7
uniformity,10
unimportant,11
union,5
unique,6
unit,4
unitary,7
unity,5
univac,6
universal,9
university,10
unknown,7
unlikely,8
unlimited,9
unload,6
unmanned,8
unmodulated,11
unnecessary,11
unorthodox,10
unperturbed,11
unpowered,9
unpressurized,13
unpublished,11
unrealistic,11
unreality,9
unrelativistic,14
unresolved,10
unrestrained,12
unrestricted,12
unretarded,10
unsatisfactory,14
unseparated,11
unsolved,8
unspecified,11
unstable,8
unsteadiness,12
unsteady,8
unstiffened,11
unstressed,10
unsupported,11
unswept,7
unsymmetrical,13
untapered,9
untenable,9
untested,8
untrimmed,9
untwisted,9
unyawed,7
upflow,6
upper,5
upstream,8
upward,6
upwash,6
urgent,6
usable,6
usage,5
use,3
useful,6
usefulness,10
user,4
usual,5
utia,4
utilise,7
utility,7
utilization,11
utilize,7
utilzation,10
v(y,3
vacuum,6
valid,5
validity,8
valuable,8
value,5
valuedness,10
valueless,9
valve,5
vane,4
vanes,5
vanish,6
vanishing,9
vapor,5
vaporization,12
vaporize,8
vapour,6
variability,11
variable,8
variant,7
variation,9
variational,11
varied,6
varies,6
variety,7
vary,4
varying,7
vector,6
vehicle,7
veiocity,8
velocity,8
venting,7
venturis,8
veocity,7
verfied,7
verification,12
verify,6
versatility,11
version,7
vertex,6
vertical,8
vessel,6
vibrate,7
vibration,9
vibrational,11
vibratory,9
vice,4
vicinity,8
view,4
viewpoint,9
vii,3
viii,4
violate,7
violent,7
violet,6
virtual,7
viscid,6
viscoelastic,12
viscoelasticity,15
viscosity,9
viscous,7
visibility,10
visible,7
vision,6
visual,6
visualisation,13
visualise,9
visualization,13
visualize,9
vital,5
viz,3
vlasov,6
volume,6
volumetric,10
vortex,6
vortical,8
vortices,8
vorticity,9
voyage,6
vtol,4
w(x,3
w.533,5
waisted,7
wake,4
wakelike,8
walkden,7
wall,4
walled,6
want,4
ward,4
warhead,7
warm,4
warning,7
warp,4
warrant,7
wash,4
wassermann,10
water,5
wave,4
wavelength,10
waviness,8
wavy,4
wax,3
way,3
weak,4
weaken,6
weakening,9
weapon,6
weave,5
web,3
wedge,5
weigh,5
weight,6
weighted,8
weighting,9
weissinger,10
wet,3
wheel,5
whirl,5
whirling,8
whisker,7
white,5
whitham,7
wide,4
widen,5
widespread,10
width,5
win,3
wind,4
window,6
windstream,10
windtunnels,11
windward,8
wing,4
wingbody,8
winged,6
winglike,8
wingtip,7
winny,5
wire,4
wise,4
withdrawal,10
withstand,9
wkb,3
wood,4
wooded,6
woodgate,8
word,4
work,4
worker,6
working,7
world,5
worsen,6
worth,5
worthwhile,10
worthy,6
wrinkle,7
wrinkled,8
wrinkling,9
write,5
writer,6
writing,7
yarymovych,10
yaw,3
yawed,5
yawing,6
year,4
yeilds,6
yield,5
young,5
yuan,4
zakkay,6
zbrozek,7
zero,4
zeroth,6
zone,4
zoom,4
